match_id,innings,over,ball,batting_team,bowling_team,striker,bowler,runs_off_bat,extras,wicket_type
1,1,1,1,India,Australia,Rohit Sharma,Mitchell Starc,1,0,
1,1,1,2,India,Australia,Shubman Gill,Mitchell Starc,4,0,
1,1,1,3,India,Australia,Shubman Gill,Mitchell Starc,0,0,caught
1,1,1,4,India,Australia,Virat Kohli,Mitchell Starc,2,1,
1,1,1,5,India,Australia,Virat Kohli,Mitchell Starc,6,0,
1,1,1,6,India,Australia,Virat Kohli,Mitchell Starc,1,0,
1,2,1,1,Australia,India,David Warner,Jasprit Bumrah,0,0,bowled
1,2,1,2,Australia,India,Steve Smith,Jasprit Bumrah,2,0,
1,2,1,3,Australia,India,Steve Smith,Jasprit Bumrah,4,0,
1,2,1,4,Australia,India,Steve Smith,Jasprit Bumrah,1,0,
1,2,1,5,Australia,India,Marnus Labuschagne,Jasprit Bumrah,0,1,
1,2,1,6,Australia,India,Marnus Labuschagne,Jasprit Bumrah,3,0,
